domain,protein,layer_num,head,status,homo_sister,source
AIMP2_4apes,AIMP2,1,1,correct,Pan_troglodytes,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/AIMP2_4apes/AIMP2_4apes/layer1/AIMP2_4apes_layer1_head1_tree.nwk
AIMP2_4apes,AIMP2,1,10,more_incorrect,Pongo_abelii,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/AIMP2_4apes/AIMP2_4apes/layer1/AIMP2_4apes_layer1_head10_tree.nwk
AIMP2_4apes,AIMP2,1,11,more_incorrect,Pongo_abelii,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/AIMP2_4apes/AIMP2_4apes/layer1/AIMP2_4apes_layer1_head11_tree.nwk
AIMP2_4apes,AIMP2,1,12,correct,Pan_troglodytes,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/AIMP2_4apes/AIMP2_4apes/layer1/AIMP2_4apes_layer1_head12_tree.nwk
AIMP2_4apes,AIMP2,1,13,correct,Pan_troglodytes,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/AIMP2_4apes/AIMP2_4apes/layer1/AIMP2_4apes_layer1_head13_tree.nwk
AIMP2_4apes,AIMP2,1,14,more_incorrect,Pongo_abelii,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/AIMP2_4apes/AIMP2_4apes/layer1/AIMP2_4apes_layer1_head14_tree.nwk
AIMP2_4apes,AIMP2,1,15,more_incorrect,Pongo_abelii,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/AIMP2_4apes/AIMP2_4apes/layer1/AIMP2_4apes_layer1_head15_tree.nwk
AIMP2_4apes,AIMP2,1,16,correct,Pan_troglodytes,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/AIMP2_4apes/AIMP2_4apes/layer1/AIMP2_4apes_layer1_head16_tree.nwk
AIMP2_4apes,AIMP2,1,17,correct,Pan_troglodytes,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/AIMP2_4apes/AIMP2_4apes/layer1/AIMP2_4apes_layer1_head17_tree.nwk
AIMP2_4apes,AIMP2,1,18,correct,Pan_troglodytes,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/AIMP2_4apes/AIMP2_4apes/layer1/AIMP2_4apes_layer1_head18_tree.nwk
