domain,layers_found,heads_found,tiles_found,expected_tiles,missing_tiles
AIMP2_4apes,12,20,240,660,420
APOBEC2_4apes,12,20,240,660,420
AR_4apes,12,20,240,660,420
CASQ1_4apes,12,20,240,660,420
COCH_4apes,12,20,240,660,420
DYRK1B_4apes,12,20,240,660,420
GPX3_4apes,12,20,240,660,420
HAUS1_4apes,12,20,240,660,420
IL6_4apes,12,20,240,660,420
INO80B_4apes,12,20,240,660,420
KRT23_4apes,12,20,240,660,420
NEUROG1_4apes,12,20,240,660,420
OPN1SW_4apes,12,20,240,660,420
PPOX_4apes,12,20,240,660,420
RHO_4apes,12,20,240,660,420
SLC39A12_4apes,12,20,240,660,420
TF_4apes,12,20,240,660,420
TPPP2_4apes,12,20,240,660,420
UBA2_4apes,12,20,240,660,420
UPRT_4apes,12,20,240,660,420
