domain,layers_found,heads_found,tiles_found,expected_tiles,missing_tiles
AIMP2_4mammals,12,20,240,240,0
APOBEC2_4mammals,12,20,240,240,0
AR_4mammals,12,20,240,240,0
CASQ1_4mammals,12,20,240,240,0
COCH_4mammals,12,20,240,240,0
DYRK1B_4mammals,12,20,240,240,0
GPX3_4mammals,12,20,240,240,0
HAUS1_4mammals,12,20,240,240,0
IL6_4mammals,12,20,240,240,0
INO80B_4mammals,12,20,240,240,0
KRT23_4mammals,12,20,240,240,0
NEUROG1_4mammals,12,20,240,240,0
OPN1SW_4mammals,12,20,240,240,0
PPOX_4mammals,12,20,240,240,0
RHO_4mammals,12,20,240,240,0
SLC39A12_4mammals,12,20,240,240,0
TF_4mammals,12,20,240,240,0
TPPP2_4mammals,12,20,240,240,0
UBA2_4mammals,12,20,240,240,0
UPRT_4mammals,12,20,240,240,0
