path,layer,head,correct,status
/home/rohan/PLM-Phylo/Results/Trees/MSAT_Trees/OMAM20_4apesAligned/TF/Trees/aDist_Trees/TF_layer10_head10_aDist_tree.nwk,10,10,,missing_taxa
/home/rohan/PLM-Phylo/Results/Trees/MSAT_Trees/OMAM20_4apesAligned/TF/Trees/aDist_Trees/TF_layer10_head11_aDist_tree.nwk,10,11,,missing_taxa
/home/rohan/PLM-Phylo/Results/Trees/MSAT_Trees/OMAM20_4apesAligned/TF/Trees/aDist_Trees/TF_layer10_head12_aDist_tree.nwk,10,12,,missing_taxa
/home/rohan/PLM-Phylo/Results/Trees/MSAT_Trees/OMAM20_4apesAligned/TF/Trees/aDist_Trees/TF_layer10_head1_aDist_tree.nwk,10,1,,missing_taxa
/home/rohan/PLM-Phylo/Results/Trees/MSAT_Trees/OMAM20_4apesAligned/TF/Trees/aDist_Trees/TF_layer10_head2_aDist_tree.nwk,10,2,,missing_taxa
/home/rohan/PLM-Phylo/Results/Trees/MSAT_Trees/OMAM20_4apesAligned/TF/Trees/aDist_Trees/TF_layer10_head3_aDist_tree.nwk,10,3,,missing_taxa
/home/rohan/PLM-Phylo/Results/Trees/MSAT_Trees/OMAM20_4apesAligned/TF/Trees/aDist_Trees/TF_layer10_head4_aDist_tree.nwk,10,4,,missing_taxa
/home/rohan/PLM-Phylo/Results/Trees/MSAT_Trees/OMAM20_4apesAligned/TF/Trees/aDist_Trees/TF_layer10_head5_aDist_tree.nwk,10,5,,missing_taxa
/home/rohan/PLM-Phylo/Results/Trees/MSAT_Trees/OMAM20_4apesAligned/TF/Trees/aDist_Trees/TF_layer10_head6_aDist_tree.nwk,10,6,,missing_taxa
/home/rohan/PLM-Phylo/Results/Trees/MSAT_Trees/OMAM20_4apesAligned/TF/Trees/aDist_Trees/TF_layer10_head7_aDist_tree.nwk,10,7,,missing_taxa
/home/rohan/PLM-Phylo/Results/Trees/MSAT_Trees/OMAM20_4apesAligned/TF/Trees/aDist_Trees/TF_layer10_head8_aDist_tree.nwk,10,8,,missing_taxa
/home/rohan/PLM-Phylo/Results/Trees/MSAT_Trees/OMAM20_4apesAligned/TF/Trees/aDist_Trees/TF_layer10_head9_aDist_tree.nwk,10,9,,missing_taxa
