domain,n_scored,n_correct,n_incorrect,pct_correct
DYRK1B_4apes,660,660,0,100
IL6_4apes,660,660,0,100
INO80B_4apes,660,660,0,100
RHO_4apes,660,660,0,100
PPOX_4apes,660,659,1,99.84848484848484
UPRT_4apes,660,656,4,99.39393939393939
KRT23_4apes,660,655,5,99.24242424242425
NEUROG1_4apes,660,506,154,76.66666666666667
OPN1SW_4apes,660,464,196,70.3030303030303
SLC39A12_4apes,660,440,220,66.66666666666667
AIMP2_4apes,660,384,276,58.18181818181818
GPX3_4apes,660,331,329,50.15151515151515
HAUS1_4apes,660,306,354,46.36363636363637
AR_4apes,660,194,466,29.393939393939394
TPPP2_4apes,660,179,481,27.12121212121212
CASQ1_4apes,660,133,527,20.151515151515152
TF_4apes,660,4,656,0.6060606060606061
APOBEC2_4apes,660,0,660,0
COCH_4apes,660,0,660,0
UBA2_4apes,660,0,660,0
