domain,n_scored,n_correct,n_incorrect,pct_correct
OPN1SW_4mammals,660,653,7,98.93939393939394
NEUROG1_4mammals,660,647,13,98.03030303030303
CASQ1_4mammals,660,639,21,96.81818181818181
DYRK1B_4mammals,660,638,22,96.66666666666667
IL6_4mammals,660,638,22,96.66666666666667
AR_4mammals,660,634,26,96.06060606060606
RHO_4mammals,660,634,26,96.06060606060606
COCH_4mammals,660,628,32,95.15151515151516
SLC39A12_4mammals,660,628,32,95.15151515151516
TPPP2_4mammals,660,627,33,95
UBA2_4mammals,660,623,37,94.39393939393939
UPRT_4mammals,660,621,39,94.0909090909091
GPX3_4mammals,660,617,43,93.48484848484848
HAUS1_4mammals,660,609,51,92.27272727272727
INO80B_4mammals,660,586,74,88.78787878787878
AIMP2_4mammals,660,577,83,87.42424242424242
PPOX_4mammals,660,525,135,79.54545454545455
KRT23_4mammals,660,415,245,62.878787878787875
TF_4mammals,660,408,252,61.81818181818182
APOBEC2_4mammals,660,340,320,51.515151515151516
