domain,n_scored,n_correct,n_incorrect,pct_correct,rf_astral,astral_correct
DYRK1B_4apes,240,240,0,100,0,TRUE
IL6_4apes,240,240,0,100,0,TRUE
INO80B_4apes,240,240,0,100,0,TRUE
PPOX_4apes,240,240,0,100,0,TRUE
RHO_4apes,240,240,0,100,0,TRUE
KRT23_4apes,240,234,6,97.5,0,TRUE
UPRT_4apes,240,231,9,96.25,0,TRUE
HAUS1_4apes,240,176,64,73.33333333333333,0,TRUE
SLC39A12_4apes,240,172,68,71.66666666666667,0,TRUE
OPN1SW_4apes,240,152,88,63.333333333333336,0,TRUE
NEUROG1_4apes,240,142,98,59.166666666666664,0,TRUE
GPX3_4apes,240,123,117,51.25,0,TRUE
TPPP2_4apes,240,115,125,47.916666666666664,2,FALSE
AR_4apes,240,92,148,38.333333333333336,0,TRUE
AIMP2_4apes,240,59,181,24.583333333333332,2,FALSE
CASQ1_4apes,240,39,201,16.25,2,FALSE
TF_4apes,240,5,235,2.0833333333333335,2,FALSE
APOBEC2_4apes,240,0,240,0,2,FALSE
COCH_4apes,240,0,240,0,2,FALSE
UBA2_4apes,240,0,240,0,2,FALSE
