domain,n_scored,n_correct,n_incorrect,pct_correct
DYRK1B_4apes,240,240,0,100
IL6_4apes,240,240,0,100
INO80B_4apes,240,240,0,100
PPOX_4apes,240,240,0,100
RHO_4apes,240,240,0,100
KRT23_4apes,240,234,6,97.5
UPRT_4apes,240,231,9,96.25
HAUS1_4apes,240,176,64,73.33333333333333
SLC39A12_4apes,240,172,68,71.66666666666667
OPN1SW_4apes,240,152,88,63.333333333333336
NEUROG1_4apes,240,142,98,59.166666666666664
GPX3_4apes,240,123,117,51.25
TPPP2_4apes,240,115,125,47.916666666666664
AR_4apes,240,92,148,38.333333333333336
AIMP2_4apes,240,59,181,24.583333333333332
CASQ1_4apes,240,39,201,16.25
TF_4apes,240,5,235,2.0833333333333335
APOBEC2_4apes,240,0,240,0
COCH_4apes,240,0,240,0
UBA2_4apes,240,0,240,0
