"Domain","pct_correct","layerheads_correct","layerheads_less_incorrect","layerheads_more_incorrect","layerheads_unknown","astral_status"
"AIMP2",16.6666666666667,24,35,85,0,"more_incorrect"
"APOBEC2",29.1666666666667,42,24,78,0,"more_incorrect"
"AR",11.1111111111111,16,72,56,0,"less_incorrect"
"CASQ1",31.9444444444444,46,37,61,0,"more_incorrect"
"COCH",13.8888888888889,20,81,43,0,"less_incorrect"
"DYRK1B",31.25,45,23,76,0,"more_incorrect"
"GPX3",60.4166666666667,87,23,34,0,"correct"
"HAUS1",31.25,45,78,21,0,"less_incorrect"
"IL6",33.3333333333333,48,55,41,0,"less_incorrect"
"INO80B",50.6944444444444,73,28,43,0,"correct"
"KRT23",30.5555555555556,44,58,42,0,"less_incorrect"
"NEUROG1",39.5833333333333,57,45,42,0,"correct"
"OPN1SW",27.7777777777778,40,69,35,0,"less_incorrect"
"PPOX",65.2777777777778,94,34,16,0,"correct"
"RHO",54.1666666666667,78,37,29,0,"correct"
"SLC39A12",30.5555555555556,44,80,20,0,"less_incorrect"
"TF",54.8611111111111,79,56,9,0,"correct"
"TPPP2",51.3888888888889,74,52,18,0,"correct"
"UBA2",10.4166666666667,15,82,47,0,"less_incorrect"
"UPRT",52.7777777777778,76,58,10,0,"correct"
