domain,n_scored,n_correct,n_incorrect,pct_correct
IL6_4mammals,240,239,1,99.58333333333333
AR_4mammals,240,238,2,99.16666666666667
COCH_4mammals,240,237,3,98.75
TPPP2_4mammals,240,237,3,98.75
DYRK1B_4mammals,240,235,5,97.91666666666667
GPX3_4mammals,240,234,6,97.5
NEUROG1_4mammals,240,234,6,97.5
UBA2_4mammals,240,234,6,97.5
CASQ1_4mammals,240,233,7,97.08333333333333
INO80B_4mammals,240,233,7,97.08333333333333
SLC39A12_4mammals,240,233,7,97.08333333333333
OPN1SW_4mammals,240,232,8,96.66666666666667
PPOX_4mammals,240,231,9,96.25
UPRT_4mammals,240,222,18,92.5
KRT23_4mammals,240,218,22,90.83333333333333
TF_4mammals,240,218,22,90.83333333333333
RHO_4mammals,240,216,24,90
AIMP2_4mammals,240,197,43,82.08333333333333
APOBEC2_4mammals,240,183,57,76.25
HAUS1_4mammals,240,182,58,75.83333333333333
