"Domain","pct_correct","correct","wrong","astral_status"
"AIMP2_4mammalsAligned",100,94,0,"correct"
"APOBEC2_4mammalsAligned",100,105,0,"correct"
"AR_4mammalsAligned",100,94,0,"correct"
"CASQ1_4mammalsAligned",100,79,0,"correct"
"COCH_4mammalsAligned",100,116,0,"correct"
"DYRK1B_4mammalsAligned",100,74,0,"correct"
"GPX3_4mammalsAligned",100,75,0,"correct"
"HAUS1_4mammalsAligned",100,88,0,"correct"
"IL6_4mammalsAligned",100,117,0,"correct"
"INO80B_4mammalsAligned",100,102,0,"correct"
"KRT23_4mammalsAligned",100,91,0,"correct"
"NEUROG1_4mammalsAligned",100,69,0,"correct"
"OPN1SW_4mammalsAligned",100,81,0,"correct"
"PPOX_4mammalsAligned",100,83,0,"correct"
"RHO_4mammalsAligned",100,64,0,"more_incorrect"
"SLC39A12_4mammalsAligned",100,69,0,"correct"
"TF_4mammalsAligned",100,68,0,"correct"
"TPPP2_4mammalsAligned",100,78,0,"correct"
"UBA2_4mammalsAligned",100,67,0,"more_incorrect"
"UPRT_4mammalsAligned",100,69,0,"correct"
